Date,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA
2020-01-02,26.510507583618164,,18.095605850219727,,19.47815704345703,,
2020-01-03,26.312732696533203,,18.077594757080078,,19.35561752319336,,
2020-01-06,26.34139060974121,,18.023548126220703,,19.414514541625977,,
2020-01-07,26.350948333740234,,18.122621536254883,,19.405014038085938,,
2020-01-08,26.4226016998291,,18.077594757080078,,19.49146270751953,,
2020-01-09,26.627063751220703,,18.077594757080078,,19.657695770263672,,
2020-01-10,26.578338623046875,,18.073089599609375,,19.642505645751953,,
2020-01-13,26.797138214111328,,18.06858253479004,,19.800186157226562,,
2020-01-14,26.79044532775879,,18.077594757080078,,19.746030807495117,,
2020-01-15,26.77898406982422,,18.077594757080078,,19.78973388671875,,
2020-01-16,26.9910888671875,,18.086599349975586,,19.976871490478516,,
2020-01-17,27.029308319091797,,18.091100692749023,,20.06995964050293,,
2020-01-21,26.957645416259766,,18.095605850219727,,20.028162002563477,,
2020-01-22,27.006372451782227,,18.104610443115234,,20.041461944580078,,
2020-01-23,26.99968910217285,,18.06858253479004,,20.060462951660156,,
2020-01-24,26.804779052734375,,18.091100692749023,,19.919876098632812,,
2020-01-27,26.36050033569336,,18.095605850219727,,19.62064552307129,,
2020-01-28,26.618467330932617,,18.131629943847656,,19.793533325195312,,
2020-01-29,26.590761184692383,,18.153247833251953,,19.833433151245117,,
2020-01-30,26.641401290893555,,18.136144638061523,,19.84767723083496,,
2020-01-31,26.02610206604004,,18.145143508911133,,19.405969619750977,,
2020-02-03,26.23534393310547,,18.149648666381836,,19.588356018066406,,
2020-02-04,26.675800323486328,,18.153247833251953,,19.894229888916016,,
2020-02-05,26.96242904663086,,18.176673889160156,,20.087064743041992,,
2020-02-06,27.067522048950195,,18.176673889160156,,20.225749969482422,,
2020-02-07,26.823890686035156,,18.163158416748047,,20.08610725402832,,
2020-02-10,26.92707633972168,,18.185680389404297,,20.230497360229492,,
2020-02-11,27.029308319091797,,18.194683074951172,,20.225749969482422,,
2020-02-12,27.258615493774414,,18.168561935424805,,20.361591339111328,,
2020-02-13,27.187910079956055,,18.185680389404297,,20.319786071777344,,
2020-02-14,27.197463989257812,,18.199186325073242,,20.365386962890625,,
2020-02-18,27.024532318115234,,18.185680389404297,,20.271352767944336,,
2020-02-19,27.271032333374023,,18.200084686279297,,20.385334014892578,,
2020-02-20,27.16783905029297,,18.21720314025879,,20.29888916015625,,
2020-02-21,26.862110137939453,,18.24873161315918,,20.014863967895508,,
2020-02-24,25.930553436279297,,18.27394676208496,,19.367019653320312,,
2020-02-25,25.128942489624023,,18.257741928100586,,18.82746124267578,,
2020-02-26,25.012378692626953,,18.227108001708984,,18.85976219177246,,
2020-02-27,23.88591766357422,,18.208194732666016,,18.03713607788086,,
2020-02-28,23.541961669921875,,18.199186325073242,,17.906034469604492,,
2020-03-02,24.793588638305664,,18.23972511291504,,18.650779724121094,,
2020-03-03,24.17159652709961,,18.298267364501953,,18.197660446166992,,
2020-03-04,24.631162643432617,,18.329792022705078,,18.956649780273438,,
2020-03-05,24.37319564819336,,18.355918884277344,,18.456998825073242,,
2020-03-06,24.007261276245117,,18.316287994384766,,18.077024459838867,,
2020-03-09,22.080142974853516,,18.05957794189453,,17.111900329589844,,
2020-03-10,23.02984619140625,,18.05957794189453,,17.66666030883789,,
2020-03-11,22.022817611694336,,17.987516403198242,,17.108102798461914,,
2020-03-12,19.9686279296875,,17.811874389648438,,15.540729522705078,,
2020-03-13,21.47057342529297,,17.802867889404297,,16.53339958190918,,
2020-03-16,19.254920959472656,,17.793859481811523,,14.91378116607666,,
2020-03-17,20.129146575927734,,17.61370849609375,,15.34124755859375,,
2020-03-18,19.151723861694336,,17.44257926940918,,14.990726470947266,,
2020-03-19,19.30746841430664,,17.158843994140625,,14.647806167602539,,
2020-03-20,18.57846450805664,,17.185869216918945,,14.364730834960938,,
2020-03-23,18.11507797241211,,17.311975479125977,,14.106352806091309,,
2020-03-24,19.63422393798828,,17.28945541381836,,15.19021224975586,,
2020-03-25,19.848247528076172,,17.239910125732422,,15.248011520385742,,
2020-03-26,20.656539916992188,,17.36151123046875,,16.28298568725586,,
2020-03-27,20.239780807495116,,17.3389949798584,,15.786616325378418,,
2020-03-30,20.9617862701416,,17.28945541381836,,16.396358489990234,,
2020-03-31,20.742935180664062,,17.16425323486328,,16.290603637695312,,
2020-04-01,19.875207901000977,,16.888629913330078,,15.622750282287598,,
2020-04-02,20.330188751220703,,17.002119064331055,,15.948575019836426,,
2020-04-03,20.11709213256836,,17.041748046875,,15.73992919921875,,
2020-04-06,21.493558883666992,,17.163354873657227,,16.841270446777344,,
2020-04-07,21.462839126586914,,17.095796585083008,,16.729814529418945,,
2020-04-08,21.885183334350586,,17.167856216430664,,17.240459442138672,,
2020-04-09,22.32672882080078,,17.239910125732422,,17.34526824951172,,
2020-04-13,22.144351959228516,,17.239910125732422,,17.257617950439453,,
2020-04-14,23.01783561706543,,17.24081039428711,,17.859739303588867,,
2020-04-15,22.54462242126465,,17.26873779296875,,17.588211059570312,,
2020-04-16,22.672285079956055,,17.157943725585938,,17.7520809173584,,
2020-04-17,23.205013275146484,,17.236310958862305,,18.10744285583496,,
2020-04-20,22.893051147460938,,17.19217872619629,,17.882606506347656,,
2020-04-21,22.144351959228516,,17.36601448059082,,17.25095558166504,,
2020-04-22,22.662687301635742,,17.169230743408203,,17.735781784057618,,
2020-04-23,22.72987174987793,,17.279409408569336,,17.690271377563477,,
2020-04-24,23.04663848876953,,17.541019439697266,,17.962831497192383,,
2020-04-27,23.37203598022461,,17.347074508666992,,18.162960052490234,,
2020-04-28,23.325000762939453,,17.491405487060547,,17.979982376098633,,
2020-04-29,23.885568618774414,,17.657384872436523,,18.48888397216797,,
