Price,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Close,Close,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,0.0,,0.0,,0.0,,,26.790447235107422,,18.07758903503418,,19.746034622192383,,,0.0,,0.0,,0.0,,,26.876434865692676,,18.095603985779668,,19.815378903619216,,,26.743629216301322,,18.05957408428869,,19.746034622192383,,,26.866882101900625,,18.05957408428869,,19.77643174312615,,,0.0,,0.0,,0.0,,,16900,,19100,,13100,,
2020-01-15,0.0,,0.0,,0.0,,,26.778982162475586,,18.07758903503418,,19.789743423461914,,,0.0,,0.0,,0.0,,,26.895545202706735,,18.104611461152412,,19.872386612101867,,,26.778982162475586,,18.075788570759787,,19.739397989424724,,,26.82866491916026,,18.104611461152412,,19.84293887253277,,,0.0,,0.0,,0.0,,,5900,,9900,,21800,,
2020-01-16,0.0,,0.0,,0.0,,,26.991090774536133,,18.086597442626953,,19.976871490478516,,,0.0,,0.0,,0.0,,,27.038861887674496,,18.113619870137978,,19.995868564115835,,,26.905101313006156,,18.082094563708626,,19.90087776042891,,,27.038861887674496,,18.10461239430097,,19.91987483406623,,,0.0,,0.0,,0.0,,,15200,,24300,,113000,,
2020-01-17,0.0,,0.0,,0.0,,,27.029306411743164,,18.091094970703125,,20.069957733154297,,,0.0,,0.0,,0.0,,,27.04841376167125,,18.113614512635166,,20.069957733154297,,,27.010197239464112,,18.091094970703125,,19.140933155141564,,,27.010197239464112,,18.091094970703125,,19.140933155141564,,,0.0,,0.0,,0.0,,,10700,,17200,,19200,,
2020-01-21,0.0,,0.0,,0.0,,,26.95764923095703,,18.095598220825195,,20.028169631958008,,,0.0,,0.0,,0.0,,,27.04841507014691,,19.88804401695177,,21.069285537125012,,,26.952871026480636,,18.09109362557378,,20.0148707722874,,,26.99108937288757,,19.88804401695177,,21.069285537125012,,,0.0,,0.0,,0.0,,,21700,,20800,,4500,,
2020-01-22,0.0,,0.0,,0.0,,,27.006378173828125,,18.1046085357666,,20.041460037231445,,,0.0,,0.0,,0.0,,,27.096189104714288,,18.163156257229026,,20.109854920328406,,,27.005421439483314,,18.050565410262816,,20.041460037231445,,,27.05797075675364,,18.122623483601192,,20.109854920328406,,,0.0,,0.0,,0.0,,,14300,,21600,,6300,,
2020-01-23,0.0,,0.0,,0.0,,,26.99968910217285,,18.068578720092773,,20.060461044311523,,,0.0,,0.0,,0.0,,,26.99968910217285,,18.104608615921467,,20.060461044311523,,,26.8382196862736,,18.068578720092773,,19.994916167541437,,,26.9528710810243,,18.095601141964295,,19.994916167541437,,,0.0,,0.0,,0.0,,,25200,,1600,,1900,,
2020-01-24,0.0,,0.0,,0.0,,,26.804777145385742,,18.091094970703125,,19.919878005981445,,,0.0,,0.0,,0.0,,,27.15351132526505,,18.122621985808014,,20.081364934530193,,,26.780891592146236,,18.091094970703125,,19.88283144169781,,,27.15351132526505,,18.10460703946232,,20.081364934530193,,,0.0,,0.0,,0.0,,,12700,,2600,,33300,,
2020-01-27,0.0,,0.0,,0.0,,,26.360496520996094,,18.095598220825195,,19.62064552307129,,,0.0,,0.0,,0.0,,,26.484702479900335,,18.13072616098754,,19.948368060374715,,,26.3413873512106,,18.083888334771174,,19.596896016390176,,,26.484702479900335,,18.08659074832208,,19.948368060374715,,,0.0,,0.0,,0.0,,,19100,,6000,,10900,,
2020-01-28,0.0,,0.0,,0.0,,,26.61846923828125,,18.131628036499023,,19.793535232543945,,,0.0,,0.0,,0.0,,,26.62802382475057,,18.131628036499023,,19.82488357403244,,,26.417826567127587,,18.113614807859584,,19.739390403215413,,,26.417826567127587,,18.131628036499023,,19.739390403215413,,,0.0,,0.0,,0.0,,,16600,,300,,5000,,
